,Participant,Group,Age,Format,Order,Version,Score,Age_C,Score_1,Score_2,Score_3,Score_4
1,OPH1,G1,3,1,1,1,21,63,6,6,6,3
2,OPH2,G1,2,1,1,1,13,52,4,3,5,1
3,OPH3,G1,1,1,1,1,19,30,6,5,4,4
4,OPH13,G5,3,1,1,1,19,63,6,4,5,4
5,OPH14,G5,2,1,1,1,18,52,5,5,5,3
6,OPH15,G5,1,1,1,1,19,19,5,5,5,4
7,OPH4,G2,3,1,1,0,12,78,3,2,4,3
8,OPH5,G2,2,1,1,0,16,35,6,3,4,3
9,OPH6,G2,1,1,1,0,16,20,6,3,4,3
10,OPH16,G6,3,1,1,0,14,65,5,4,4,1
11,OPH17,G6,2,1,1,0,18,40,5,5,5,3
12,OPH18,G6,1,1,1,0,14,22,4,3,4,3
13,OPH10,G4,3,1,0,1,16,63,3,6,5,2
14,OPH11,G4,2,1,0,1,15,59,4,5,4,2
15,OPH12,G4,1,1,0,1,21,32,6,6,5,4
16,OPH22,G8,3,1,0,1,20,61,6,4,6,4
17,OPH23,G8,2,1,0,1,20,40,5,5,6,4
18,OPH24,G8,1,1,0,1,22,21,6,6,6,4
19,OPH7,G3,3,1,0,0,11,77,4,1,4,2
20,OPH8,G3,3,1,0,0,11,76,4,1,4,2
21,OPH30,G3,2,1,0,0,20,43,5,5,6,4
22,OPH19,G7,3,1,0,0,14,65,4,4,4,2
23,OPH20,G7,2,1,0,0,21,38,6,6,6,3
24,OPH21,G7,1,1,0,0,20,26,6,4,6,4
1,OPH1,G1,3,0,1,1,19,63,6,5,6,2
2,OPH2,G1,2,0,1,1,13,52,3,4,4,2
3,OPH3,G1,1,0,1,1,20,30,6,5,6,3
4,OPH13,G5,3,0,1,1,19,63,6,4,5,4
5,OPH14,G5,2,0,1,1,20,52,5,5,6,4
6,OPH15,G5,1,0,1,1,15,19,4,3,5,3
7,OPH4,G2,3,0,1,0,14,78,4,3,3,4
8,OPH5,G2,2,0,1,0,20,35,6,5,5,4
9,OPH6,G2,1,0,1,0,21,20,5,6,6,4
10,OPH16,G6,3,0,1,0,19,65,6,5,5,3
11,OPH17,G6,2,0,1,0,20,40,6,5,6,3
12,OPH18,G6,1,0,1,0,16,22,6,4,3,3
13,OPH10,G4,3,0,0,1,15,63,4,3,4,4
14,OPH11,G4,2,0,0,1,16,59,5,3,5,3
15,OPH12,G4,1,0,0,1,20,32,6,4,6,4
16,OPH22,G8,3,0,0,1,16,61,5,5,3,3
17,OPH23,G8,2,0,0,1,20,40,6,4,6,4
18,OPH24,G8,1,0,0,1,19,21,5,5,5,4
19,OPH7,G3,3,0,0,0,12,77,4,4,3,1
20,OPH8,G3,3,0,0,0,17,76,6,4,5,2
21,OPH30,G3,2,0,0,0,19,43,6,4,5,4
22,OPH19,G7,3,0,0,0,15,65,3,4,4,4
23,OPH20,G7,2,0,0,0,21,38,6,6,6,3
24,OPH21,G7,1,0,0,0,20,26,6,5,6,3
25,OPH25,G1,2,1,1,1,16,54,5,4,5,2
26,OPH26,G1,1,1,1,1,20,20,5,6,5,4
27,OPH29,G2,2,1,1,0,17,57,5,4,6,2
28,OPH50,G6,3,1,1,0,17,72,4,5,5,3
29,OPH53,G6,3,1,1,0,18,65,5,5,6,2
30,OPH51,G7,2,1,0,0,18,46,5,4,5,4
31,OPH52,G7,1,1,0,0,19,29,6,5,4,4
25,OPH25,G1,2,0,1,1,14,54,4,2,5,3
26,OPH26,G1,1,0,1,1,21,20,6,7,4,4
27,OPH29,G2,2,0,1,0,20,57,6,5,6,3
28,OPH50,G6,3,0,1,0,19,72,5,6,6,2
29,OPH53,G6,3,0,1,0,19,65,6,4,5,4
30,OPH51,G7,2,0,0,0,21,46,6,5,6,4
31,OPH52,G7,1,0,0,0,20,29,6,5,6,3
