record_id,redcap_event_name,stw_age,stw_n_correct_trials,phase_cog_online_paper
110033,phase_4_arm_1,30,53,1
110069,phase_4_arm_1,35,56,1
110089,phase_4_arm_1,30,44,2
110101,phase_4_arm_1,30,47,
110187,phase_4_arm_1,32,55,1
110319,phase_4_arm_1,35,54,2
110411,phase_4_arm_1,32,54,1
110593,phase_4_arm_1,33,57,1
112173,phase_4_arm_1,26,54,1
120049,phase_4_arm_1,34,50,1
120065,phase_4_arm_1,31,54,1
120072,phase_4_arm_1,33,53,1
120075,phase_4_arm_1,34,52,1
120123,phase_4_arm_1,25,46,1
120141,phase_4_arm_1,32,47,1
120166,phase_4_arm_1,34,57,1
120276,phase_4_arm_1,29,54,1
120349,phase_4_arm_1,31,47,1
120400,phase_4_arm_1,26,34,2
120470,phase_4_arm_1,34,54,1
120640,phase_4_arm_1,32,50,1
121085,phase_4_arm_1,27,51,1
121411,phase_4_arm_1,32,59,1
121428,phase_4_arm_1,31,53,1
121493,phase_4_arm_1,33,51,2
122059,phase_4_arm_1,33,55,1
122272,phase_4_arm_1,32,42,1
122279,phase_4_arm_1,30,43,1
122453,phase_4_arm_1,33,50,2
122632,phase_4_arm_1,31,46,2
122861,phase_4_arm_1,31,58,1
122887,phase_4_arm_1,31,52,1
210088,phase_4_arm_1,43,52,1
210121,phase_4_arm_1,,34,
210173,phase_4_arm_1,44,49,1
210194,phase_4_arm_1,39,51,2
210284,phase_4_arm_1,38,53,1
210446,phase_4_arm_1,44,57,1
210677,phase_4_arm_1,43,47,1
212119,phase_4_arm_1,41,56,2
220012,phase_4_arm_1,40,51,1
220024,phase_4_arm_1,36,59,1
220107,phase_4_arm_1,40,47,1
220120,phase_4_arm_1,37,46,2
220151,phase_4_arm_1,37,55,1
220284,phase_4_arm_1,41,49,2
220335,phase_4_arm_1,40,60,1
220371,phase_4_arm_1,37,52,1
220381,phase_4_arm_1,36,48,1
220394,phase_4_arm_1,39,50,1
220419,phase_4_arm_1,37,51,2
220506,phase_4_arm_1,41,52,1
220519,phase_4_arm_1,36,56,1
220522,phase_4_arm_1,36,47,1
220567,phase_4_arm_1,43,57,1
220697,phase_4_arm_1,41,60,1
220752,phase_4_arm_1,39,43,2
220828,phase_4_arm_1,40,46,1
220833,phase_4_arm_1,35,59,1
220912,phase_4_arm_1,35,59,1
220974,phase_4_arm_1,43,55,1
220999,phase_4_arm_1,42,57,1
221002,phase_4_arm_1,45,55,1
221084,phase_4_arm_1,43,56,
221089,phase_4_arm_1,40,55,1
221097,phase_4_arm_1,41,51,2
221244,phase_4_arm_1,38,51,1
221269,phase_4_arm_1,44,57,1
221282,phase_4_arm_1,37,50,1
221290,phase_4_arm_1,44,59,2
221336,phase_4_arm_1,40,54,1
221352,phase_4_arm_1,43,52,1
221373,phase_4_arm_1,35,57,1
221397,phase_4_arm_1,43,47,1
221437,phase_4_arm_1,39,49,1
221487,phase_4_arm_1,41,51,1
221511,phase_4_arm_1,42,55,1
221585,phase_4_arm_1,43,54,1
221587,phase_4_arm_1,44,51,1
221614,phase_4_arm_1,40,54,1
221888,phase_4_arm_1,42,47,1
221977,phase_4_arm_1,44,54,2
221980,phase_4_arm_1,40,59,1
222185,phase_4_arm_1,38,54,2
222264,phase_4_arm_1,42,53,1
222265,phase_4_arm_1,38,45,1
222307,phase_4_arm_1,39,45,2
222366,phase_4_arm_1,44,57,1
222421,phase_4_arm_1,39,54,2
222451,phase_4_arm_1,37,49,2
222496,phase_4_arm_1,43,50,2
222691,phase_4_arm_1,36,58,1
222833,phase_4_arm_1,38,52,2
222946,phase_4_arm_1,37,59,2
223986,phase_4_arm_1,43,55,2
224337,phase_4_arm_1,36,52,1
310052,phase_4_arm_1,49,57,1
310070,phase_4_arm_1,53,60,2
310078,phase_4_arm_1,49,58,1
310086,phase_4_arm_1,55,54,1
310098,phase_4_arm_1,50,57,1
310142,phase_4_arm_1,55,47,2
310203,phase_4_arm_1,47,57,1
310224,phase_4_arm_1,53,52,2
310407,phase_4_arm_1,45,54,1
310418,phase_4_arm_1,53,51,1
310463,phase_4_arm_1,51,54,1
310473,phase_4_arm_1,53,57,1
312053,phase_4_arm_1,50,51,1
312222,phase_4_arm_1,54,58,1
312256,phase_4_arm_1,53,50,2
320001,phase_4_arm_1,53,57,2
320022,phase_4_arm_1,46,54,1
320092,phase_4_arm_1,54,50,2
320109,phase_4_arm_1,46,52,1
320136,phase_4_arm_1,51,53,2
320206,phase_4_arm_1,53,54,1
320218,phase_4_arm_1,53,58,1
320279,phase_4_arm_1,44,55,1
320292,phase_4_arm_1,45,53,1
320321,phase_4_arm_1,46,51,1
320359,phase_4_arm_1,53,59,1
320379,phase_4_arm_1,54,59,1
320417,phase_4_arm_1,45,56,2
320454,phase_4_arm_1,44,53,2
320457,phase_4_arm_1,46,43,1
320478,phase_4_arm_1,46,59,1
320500,phase_4_arm_1,52,58,1
320574,phase_4_arm_1,46,54,2
320575,phase_4_arm_1,45,53,2
320616,phase_4_arm_1,45,53,1
320627,phase_4_arm_1,54,51,2
320636,phase_4_arm_1,51,54,1
320645,phase_4_arm_1,54,50,1
320651,phase_4_arm_1,48,55,2
